"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"909270","Altmerdingsen Friedhof",10.133351,52.45968,""
"940918","Remchingen-Wilferdingen Bahnhof",8.571313,48.953591,""
"940382","Königsbach-Stein Bahnhof",8.609904,48.962193,""
"909268","Altmerdingsen Kreuzweg",10.133027,52.459069,""
"909266","Altmerdingsen Schilfbruchstraße",10.128569,52.46386,""
"909366","Hänigsen Altmerdingser Straße",10.100271,52.479636,""
"940312","Ispringen Bahnhof",8.672271,48.914595,""
"940370","Pforzheim ZOB/Hbf",8.704525,48.893741,""
"909352","Hänigsen Am Pappaul",10.094688,52.483106,""
"909348","Hänigsen Friedhof",10.090176,52.483196,""
"909368","Hänigsen Dornbusch",10.088522,52.481731,""
"909346","Hänigsen Berliner Platz",10.082688,52.483403,""
"909098","Dachtmissen(Burgdorf)",10.048034,52.46422,""
"909062","Weferlingsen Dammbruch",10.047765,52.483745,""
"909060","Weferlingsen Rieheweg",10.046605,52.480931,""
"908989","Hülptingsen Färberstraße",10.039432,52.446871,""
"909038","Hülptingsen Mitte",10.033454,52.447239,""
"909096","Sorgensen Siedlerweg",10.031539,52.462188,""
"908995","Burgdorf(Kreis Hannover) Duderstädter Weg",10.026397,52.442358,""
"909036","Burgdorf(Kreis Hannover) Ostlandring",10.026361,52.445909,""
"908997","Burgdorf(Kreis Hannover) Schwüblingser Weg",10.026298,52.439859,""
"908993","Burgdorf(Kreis Hannover) Betriebshof",10.02575,52.444722,""
"909094","Sorgensen Plantagenweg",10.024617,52.460103,""
"909026","Burgdorf(Kreis Hannover) Uhlandstraße",10.023017,52.437441,""
"909034","Burgdorf(Kreis Hannover) Hülptingser Weg",10.021264,52.444992,""
"909028","Burgdorf(Kreis Hannover) Reuterstraße",10.020599,52.440147,""
"909086","Burgdorf(Kreis Hannover) Velper Straße",10.020258,52.454736,""
"909090","Burgdorf(Kreis Hannover) Grenzstraße",10.018774,52.450889,""
"909022","Burgdorf(Kreis Hannover) Scharlemannstraße",10.017822,52.435931,""
"909024","Burgdorf(Kreis Hannover) Rubensplatz",10.017327,52.438106,""
"909030","Burgdorf(Kreis Hannover) Raabeweg",10.015323,52.443176,""
"909032","Burgdorf(Kreis Hannover) Peiner Weg",10.014406,52.443922,""
